Tobs,Cvectru,CvecestHTemp,Tvectru,TvecestHTemp
342.61,1.5965,1.6996,341.38,342.59
341.94,1.5965,1.6544,341.38,342.46
342.93,1.5965,1.6265,341.38,342.24
341.78,1.5965,1.6107,341.38,341.91
342.85,1.5965,1.6022,341.38,341.74
341.11,1.5965,1.5984,341.38,341.43
340.48,1.5965,1.5981,341.38,341.27
341.21,1.5965,1.5983,341.38,341.32
342.32,1.5965,1.5977,341.38,341.4
340.5,1.5965,1.5975,341.38,341.23
340.23,1.6553,1.6563,339.73,339.7
338.98,1.6935,1.6945,339.46,339.39
339.97,1.7154,1.7162,339.53,339.5
338.78,1.7269,1.7279,339.65,339.52
339.8,1.7327,1.7341,339.73,339.61
338.2,1.7355,1.7375,339.78,339.56
339.42,1.7368,1.7393,339.81,339.69
340.19,1.7374,1.7392,339.83,339.8
339.58,1.7376,1.739,339.84,339.81
340.82,1.7377,1.7383,339.84,339.87
339.34,1.7378,1.7384,339.84,339.7
338,1.7378,1.7396,339.84,339.43
342.62,1.6404,1.6449,343.59,343.33
345.71,1.5428,1.5473,344.87,344.87
344.61,1.4639,1.4666,344.7,344.74
344.21,1.4092,1.4105,343.91,343.96
343.83,1.3747,1.3748,343.08,343.07
340.78,1.3541,1.3551,342.46,342.19
341.54,1.3422,1.3447,342.05,341.82
341.25,1.3352,1.3387,341.81,341.6
340.87,1.3312,1.3354,341.67,341.49
341.45,1.3288,1.3332,341.59,341.54
342.75,1.3274,1.3305,341.55,341.66
341.49,1.3266,1.3285,341.52,341.58
340.98,1.4246,1.4254,340.01,340.08
339.44,1.4931,1.4937,339.99,339.93
340.33,1.5372,1.5381,340.32,340.25
340.04,1.5639,1.5653,340.66,340.55
341.39,1.5794,1.5809,340.92,340.89
340.91,1.5879,1.5893,341.11,341.06
341.6,1.5925,1.5937,341.22,341.23
341.82,1.5947,1.5955,341.3,341.33
341.27,1.5958,1.5963,341.34,341.36
342.06,1.5963,1.5963,341.36,341.49
343.2,1.5965,1.595,341.37,341.61
341.79,1.5965,1.5943,341.38,341.52
341.61,1.6502,1.6482,341.62,341.65
342.77,1.6825,1.6808,342.05,342.08
342.49,1.7,1.6989,342.44,342.37
341.87,1.7084,1.7089,342.74,342.57
343.33,1.7116,1.7131,342.95,342.87
343.07,1.7122,1.7137,343.07,343.02
342.92,1.7118,1.7131,343.14,343.15
344.17,1.7111,1.7109,343.16,343.36
344.65,1.7105,1.7079,343.17,343.4
342.76,1.71,1.707,343.18,343.18
343.25,1.7097,1.7081,343.17,343.09
342.53,1.7096,1.7094,343.17,342.98
343.13,1.6031,1.6041,342.6,342.47
339.79,1.5407,1.543,341.66,341.41
341.73,1.5062,1.5088,340.94,340.92
340.67,1.4875,1.4892,340.5,340.51
340.46,1.4774,1.4785,340.25,340.29
341.08,1.472,1.4722,340.12,340.19
339.83,1.469,1.4689,340.05,340.02
339.91,1.4674,1.4675,340.01,339.92
338.99,1.4665,1.4674,339.99,339.79
338.67,1.466,1.468,339.98,339.75
339.42,1.4657,1.4683,339.98,339.83
340.19,1.4655,1.4678,339.97,339.92
339.75,1.5195,1.5216,340.18,340.07
339.46,1.5533,1.5556,340.52,340.37
341.66,1.5733,1.5753,340.81,340.81
