Tobs,Cvectru,CvecestHTemp,Tvectru,TvecestHTemp
340.47,1.5846,1.5861,341.03,340.95
341.17,1.5907,1.5923,341.18,341.12
341.27,1.5939,1.5951,341.27,341.22
341.12,1.5954,1.5965,341.32,341.27
341.66,1.5961,1.5969,341.35,341.32
341.16,1.5964,1.5971,341.37,341.24
340.06,1.5965,1.5982,341.37,341.13
340.56,1.5965,1.5992,341.38,341.17
341.57,1.5965,1.599,341.38,341.26
345.05,1.5723,1.5749,346.05,345.81
348.15,1.5238,1.5274,348.42,348.15
348.71,1.4753,1.4803,349.46,349.06
348.64,1.4393,1.4466,349.57,349.12
348.37,1.4193,1.4278,349.18,348.81
348.36,1.4122,1.42,348.68,348.49
348.42,1.4128,1.418,348.28,348.26
347.96,1.4164,1.4189,348.05,348.09
348.79,1.4203,1.4203,347.95,348.04
347.74,1.4232,1.4225,347.94,347.83
346.76,1.425,1.4263,347.96,347.68
348.01,1.4257,1.4286,348,347.82
338.8,1.4756,1.478,338.74,338.68
336.17,1.5456,1.5476,335.92,335.93
335.76,1.6006,1.602,335.36,335.41
336.41,1.6388,1.6396,335.4,335.47
335.09,1.6642,1.6648,335.52,335.5
335.85,1.6807,1.6815,335.64,335.63
335.72,1.6913,1.6921,335.73,335.71
335.33,1.698,1.6991,335.79,335.77
337.52,1.7023,1.7029,335.83,335.95
335.66,1.705,1.7053,335.86,335.83
334.76,1.7067,1.7076,335.88,335.8
337.29,1.7078,1.7087,335.89,336.07
340.18,1.6922,1.6922,339.92,339.95
340.46,1.6642,1.6646,341.34,341.25
342.25,1.6391,1.6398,341.76,341.78
342.79,1.6212,1.621,341.78,341.85
340.98,1.6099,1.6098,341.69,341.6
341.69,1.6033,1.604,341.58,341.5
341.39,1.5998,1.6008,341.5,341.39
340.53,1.598,1.5997,341.45,341.31
342.35,1.5971,1.5986,341.41,341.44
341.38,1.5967,1.5976,341.4,341.38
341.81,1.5965,1.5973,341.39,341.35
340.82,1.5965,1.5978,341.39,341.19
347.24,1.5625,1.5649,347.76,347.6
351.77,1.4884,1.4904,351.52,351.53
353.78,1.4054,1.4038,353.69,353.98
355.73,1.3381,1.3287,354.27,354.92
353.21,1.3019,1.2859,353.43,354.11
353.77,1.2965,1.2771,352.02,352.7
352.05,1.3092,1.2903,350.85,351.09
348.69,1.327,1.3157,350.23,349.82
348.73,1.3419,1.3402,350.06,349.48
349.69,1.3513,1.3551,350.14,349.73
350.17,1.3555,1.3604,350.32,350.12
350.53,1.3558,1.3593,350.52,350.48
338.61,1.425,1.4265,337.94,337.94
333.73,1.5185,1.5199,334.3,334.22
333.06,1.5907,1.5923,333.63,333.53
333.52,1.6409,1.6427,333.68,333.61
333.8,1.6746,1.6764,333.82,333.77
334.17,1.6969,1.6986,333.95,333.95
334.89,1.7115,1.7129,334.05,334.08
334.61,1.7211,1.7221,334.12,334.1
332.78,1.7273,1.7288,334.16,334.02
334.74,1.7314,1.7332,334.19,334.18
334.85,1.734,1.7354,334.21,334.25
334.73,1.7357,1.7367,334.23,334.34
340.52,1.7167,1.7167,339.49,339.61
341.56,1.6819,1.681,341.3,341.32
341.32,1.6504,1.6501,341.85,341.73
341.77,1.6278,1.6285,341.89,341.71
339.83,1.6134,1.6159,341.77,341.47
342.01,1.6051,1.6083,341.64,341.53
341.62,1.6006,1.603,341.53,341.46
341,1.5983,1.6005,341.46,341.33
340.91,1.5972,1.5997,341.42,341.26
340.55,1.5967,1.5997,341.4,341.22
341.35,1.5965,1.5995,341.39,341.31
341.68,1.5965,1.5987,341.38,341.38
339.94,1.6022,1.604,340.2,340.14
339.52,1.6106,1.6123,339.91,339.84
339.85,1.6171,1.6188,339.88,339.82
339.75,1.6214,1.623,339.89,339.83
339.16,1.6241,1.6259,339.92,339.83
340.96,1.6258,1.6272,339.93,339.98
340.29,1.6268,1.6274,339.95,339.98
340.97,1.6274,1.6274,339.95,340.01
339.56,1.6277,1.6277,339.96,339.89
339.08,1.6279,1.6286,339.96,339.85
340.6,1.628,1.6289,339.96,339.95
340,1.6281,1.6287,339.96,339.89
342.1,1.6159,1.6172,342.7,342.5
344.31,1.5898,1.5924,344.38,344.11
343.78,1.5609,1.5656,345.37,344.99
346.7,1.5354,1.5408,345.85,345.67
345.18,1.5165,1.5215,345.95,345.72
345.29,1.5047,1.5098,345.83,345.67
346.67,1.499,1.5024,345.61,345.61
344.67,1.4975,1.5,345.39,345.24
344.87,1.4986,1.5015,345.2,345.05
344.67,1.5007,1.5033,345.07,345.03
346.28,1.5029,1.5037,345,345.15
345.04,1.5048,1.5043,344.97,344.96
341.45,1.5202,1.5206,342.3,342.13
340.41,1.544,1.5458,341.3,341.18
342.43,1.5638,1.565,341.06,341.21
342.6,1.5774,1.5767,341.07,341.31
342.45,1.586,1.5837,341.15,341.31
340.24,1.591,1.5893,341.23,341.13
341.12,1.5938,1.5935,341.29,341.19
341.17,1.5952,1.5956,341.33,341.24
341.6,1.596,1.5966,341.35,341.29
340.91,1.5963,1.5973,341.37,341.23
340.6,1.5964,1.5984,341.37,341.19
341.02,1.5965,1.599,341.38,341.23
